s = AJ44J, new = AAA44
s = TK8QT, new = 8TTKQ
s = 2AJ23, new = AA322
s = 3TTTA, new = TTTA3
s = KJ996, new = K6999
s = 88588, new = 88885
s = K855A, new = KA558
s = Q7QQ7, new = QQQ77
s = T9AJ5, new = 59TAA
s = J4JJ5, new = 45555
s = 56656, new = 55666
s = 54566, new = 66455
s = 4K5K4, new = 544KK
s = Q5766, new = Q5766
s = 9867A, new = 69A78
s = 79888, new = 79888
s = K6Q25, new = K6Q52
s = 644J6, new = 66644
s = Q78TK, new = QT87K
s = AAAA8, new = AAAA8
s = JJTT6, new = 6TTTT
s = T3ATA, new = 3TTAA
s = 33AAA, new = AAA33
s = 99494, new = 44999
s = 99989, new = 89999
s = 96TJ9, new = 6T999
s = 85J8A, new = AA885
s = 79647, new = 77946
s = 3K57Q, new = Q53K7
s = T5888, new = T5888
s = 986Q5, new = 8Q965
s = KK6KK, new = 6KKKK
s = 3J8Q3, new = 833QQ
s = 3A37A, new = 33AA7
s = JK5KK, new = KKKK5
s = 2T2JA, new = TAA22
s = AQQ6A, new = QQAA6
s = 82228, new = 88222
s = T9TTT, new = TTTT9
s = 942A2, new = 4A229
s = K7Q89, new = 9K7Q8
s = 35535, new = 55533
s = 43KJJ, new = 34KKK
s = 53A84, new = 43A85
s = Q85K8, new = Q885K
s = QTKTT, new = TTTKQ
s = 36893, new = 33968
s = 2J99J, new = 29999
s = 43K78, new = 4K378
s = K3456, new = 3564K
s = JQ462, new = 624QQ
s = 6JQJQ, new = QQQQ6
s = 8J6K5, new = 856KK
s = 2Q777, new = Q7772
s = J876T, new = 86TT7
s = Q5JQQ, new = 5QQQQ
s = JJAJT, new = AAAAT
s = 9T6T9, new = 99TT6
