s = AJ44J, new = A4444
s = J4JJ5, new = 45555
s = 56656, new = 55666
s = 54566, new = 55466
s = 4K5K4, new = KK445
s = Q5766, new = 665Q7
s = 9867A, new = 7869A
s = 79888, new = 88879
s = K6Q25, new = K265Q
s = 644J6, new = 44666
s = Q78TK, new = K8TQ7
s = AAAA8, new = AAAA8
s = JJTT6, new = TTTT6
s = T3ATA, new = 3TTAA
s = 33AAA, new = 33AAA
s = 99494, new = 44999
s = 99989, new = 89999
s = 96TJ9, new = 999T6
s = 85J8A, new = 5A888
s = 79647, new = 67749
s = 3K57Q, new = 73K5Q
s = T5888, new = 8885T
s = 986Q5, new = 8965Q
s = KK6KK, new = KKKK6
s = 3J8Q3, new = 333Q8
s = 3A37A, new = AA733
s = JK5KK, new = 5KKKK
s = 2T2JA, new = AT222
s = AQQ6A, new = QQAA6
s = 82228, new = 22288
s = T9TTT, new = TTTT9
s = 942A2, new = 422A9
s = K7Q89, new = 87Q9K
s = 35535, new = 33555
s = 43KJJ, new = 4KKK3
s = 53A84, new = A8435
s = Q85K8, new = QK885
s = QTKTT, new = KQTTT
s = 36893, new = 86933
s = 2J99J, new = 99992
s = 43K78, new = 47K38
s = K3456, new = K3564
s = JQ462, new = 2246Q
s = 6JQJQ, new = 6QQQQ
s = 8J6K5, new = 86K55
s = 2Q777, new = 777Q2
s = J876T, new = TT768
s = Q5JQQ, new = QQQQ5
s = JJAJT, new = TTTTA
s = 9T6T9, new = TT699
ans = 252127335
